PDF_Samples/The CozyDuke APT - Securelist.pdf	1	URL	https://www.evernote.com/shard/s170/nl/19724058/59b535d9-1b13-4c1b-9fbc-22386837eae5/?csrfBusterToken=U%3D12cf71a%3AP%3D%2F%3A
PDF_Samples/The CozyDuke APT - Securelist.pdf	1	Filename	Video.zip
PDF_Samples/The CozyDuke APT - Securelist.pdf	1	Host	diplomacy.pl
PDF_Samples/The CozyDuke APT - Securelist.pdf	1	Host	www.evernote.com
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	Filepath	C:\Documents
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	URL	https://www.evernote.com/shard/s170/nl/19724058/59b535d9-1b13-4c1b-9fbc-22386837eae5/?csrfBusterToken=U%3D12cf71a%3AP%3D%2F%3A
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	Filename	Video.zip
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	Filename	Monkeys.exe
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	Filename	player.exe
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	Filename	Monkeys.exe
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	Filename	player.exe
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	Filename	player.exe
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	Filename	amdhcp32.dll
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	Filename	aticaldd.dll
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	Filename	atiumdag.dll
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	Filename	rundll32.exe
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	Host	www.evernote.com
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	MD5	68271df868f462c06e24a896a9494225
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	MD5	95b3ec0a4e539efaa1faa3d4e25d51de
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	MD5	2aabd78ef11926d7b562fd0d91e68ad3
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	MD5	3d3363598f87c78826c859077606e514
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	MD5	3d3363598f87c78826c859077606e514
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	MD5	6761106f816313394a653db5172dc487
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	MD5	d596827d48a3ff836545b3a999f2c3e3
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	MD5	bc626c8f11ed753f33ad1c0fe848d898
PDF_Samples/The CozyDuke APT - Securelist.pdf	2	MD5	4152e79e3dbde55dcf3fc2014700a022
PDF_Samples/The CozyDuke APT - Securelist.pdf	3	Filepath	C:\Documents
PDF_Samples/The CozyDuke APT - Securelist.pdf	3	Filepath	C:\Documents
PDF_Samples/The CozyDuke APT - Securelist.pdf	3	URL	hxxp://www.sanjosemaristas.com/app/index.php?{A01BA0AD-9BB3-4F38-B76B-A00AD11CBAAA
PDF_Samples/The CozyDuke APT - Securelist.pdf	3	URL	https://www.evernote.com/shard/s170/nl/19724058/59b535d9-1b13-4c1b-9fbc-22386837eae5/?csrfBusterToken=U%3D12cf71a%3AP%3D%2F%3A
